"cor.cor";"mse.1";"description"
"76";0.496715787440163;0.812417123076105;"target~ tfidf + penality.rowsums + antonym"
"77";0.649212637767332;0.446364722106098;"target~ tfidf + ngram_proportion + common_word_proportion"
"78";0.649212637767332;0.446364722106099;"target~ tfidf + ngram_proportion + uncommon_word_proportion"
"79";0.55844207079122;0.546140761323536;"target~ tfidf + ngram_proportion + antonym"
"80";0.637776941990508;0.457324334557353;"target~ tfidf + common_word_proportion + uncommon_word_proportion"
"81";0.636874253048954;0.458158588636695;"target~ tfidf + common_word_proportion + antonym"
"82";0.636874253048954;0.458158588636695;"target~ tfidf + uncommon_word_proportion + antonym"
"83";0.639593454639284;0.452209854293572;"target~ penality.rowsums + ngram_proportion + common_word_proportion"
"84";0.639593454639284;0.452209854293572;"target~ penality.rowsums + ngram_proportion + uncommon_word_proportion"
"85";0.526929294861281;0.56212652753506;"target~ penality.rowsums + ngram_proportion + antonym"
"86";0.625443088873376;0.465063499501883;"target~ penality.rowsums + common_word_proportion + uncommon_word_proportion"
"87";0.625419363956966;0.46495456647096;"target~ penality.rowsums + common_word_proportion + antonym"
"88";0.625419363956966;0.464954566470959;"target~ penality.rowsums + uncommon_word_proportion + antonym"
"89";0.640416656798874;0.472742343733448;"target~ ngram_proportion + common_word_proportion + uncommon_word_proportion"
"90";0.640134672679142;0.472113133263969;"target~ ngram_proportion + common_word_proportion + antonym"
"91";0.640134672679142;0.472113133263969;"target~ ngram_proportion + uncommon_word_proportion + antonym"
"92";0.617251367850496;0.505339498036513;"target~ common_word_proportion + uncommon_word_proportion + antonym"
"93";0.49576790637253;0.803338239948613;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums"
"94";0.560876153527257;0.620801657959077;"target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion"
"95";0.647799636693437;0.472299063281184;"target~ embeddings_sum + embeddings_pca + tfidf + common_word_proportion"
"96";0.647799636693437;0.472299063281184;"target~ embeddings_sum + embeddings_pca + tfidf + uncommon_word_proportion"
"97";0.490060811414818;0.799823741895815;"target~ embeddings_sum + embeddings_pca + tfidf + antonym"
"98";0.517511935700884;0.585340042863579;"target~ embeddings_sum + embeddings_pca + penality.rowsums + ngram_proportion"
"99";0.610362194745803;0.481879962944695;"target~ embeddings_sum + embeddings_pca + penality.rowsums + common_word_proportion"
"100";0.610362194745803;0.481879962944696;"target~ embeddings_sum + embeddings_pca + penality.rowsums + uncommon_word_proportion"
"101";0.298567252704833;0.838109988983103;"target~ embeddings_sum + embeddings_pca + penality.rowsums + antonym"
"102";0.632789260824499;0.4602187012848;"target~ embeddings_sum + embeddings_pca + ngram_proportion + common_word_proportion"
"103";0.6327892608245;0.4602187012848;"target~ embeddings_sum + embeddings_pca + ngram_proportion + uncommon_word_proportion"
"104";0.528857201709377;0.572751132664018;"target~ embeddings_sum + embeddings_pca + ngram_proportion + antonym"
