"cor.cor";"mse";"description";"epochs";"hidden_neurons";"learning_rate"
"65";0.635204574405465;0.453277060024719;"target~ embeddings_pca + penality.rowsums + uncommon_word_proportion";500;"5";0.01
"66";0.301355754632728;0.832696388157817;"target~ embeddings_pca + penality.rowsums + antonym";500;"5";0.01
"67";0.639395951512973;0.44980309873216;"target~ embeddings_pca + ngram_proportion + common_word_proportion";500;"5";0.01
"68";0.640248107802476;0.451521615768594;"target~ embeddings_pca + ngram_proportion + uncommon_word_proportion";500;"5";0.01
"69";0.537649695321524;0.586001192029508;"target~ embeddings_pca + ngram_proportion + antonym";500;"5";0.01
"70";0.621570062907894;0.475580542352777;"target~ embeddings_pca + common_word_proportion + uncommon_word_proportion";500;"5";0.01
"71";0.619021464083091;0.477553782220528;"target~ embeddings_pca + common_word_proportion + antonym";500;"5";0.01
"72";0.618895868471952;0.477591933067123;"target~ embeddings_pca + uncommon_word_proportion + antonym";500;"5";0.01
"73";0.56559752560514;0.517706747271699;"target~ tfidf + penality.rowsums + ngram_proportion";500;"5";0.01
"74";0.658094769551514;0.436955541570641;"target~ tfidf + penality.rowsums + common_word_proportion";500;"5";0.01
"75";0.659880819877972;0.435747047103765;"target~ tfidf + penality.rowsums + uncommon_word_proportion";500;"5";0.01
"76";0.489084290815746;0.580241970804862;"target~ tfidf + penality.rowsums + antonym";500;"5";0.01
"77";0.652977285569415;0.437478362055539;"target~ tfidf + ngram_proportion + common_word_proportion";500;"5";0.01
"78";0.651811061480197;0.438839109741371;"target~ tfidf + ngram_proportion + uncommon_word_proportion";500;"5";0.01
"79";0.564399496586292;0.527584379137471;"target~ tfidf + ngram_proportion + antonym";500;"5";0.01
"80";0.642966611682306;0.448630253713062;"target~ tfidf + common_word_proportion + uncommon_word_proportion";500;"5";0.01
"81";0.639964325974066;0.450949412338;"target~ tfidf + common_word_proportion + antonym";500;"5";0.01
"82";0.638003782476433;0.452660000500482;"target~ tfidf + uncommon_word_proportion + antonym";500;"5";0.01
"83";0.650354432667485;0.444795260286309;"target~ penality.rowsums + ngram_proportion + common_word_proportion";500;"5";0.01
"84";0.649334008884813;0.445650022939486;"target~ penality.rowsums + ngram_proportion + uncommon_word_proportion";500;"5";0.01
"85";0.534783047323797;0.542890587847993;"target~ penality.rowsums + ngram_proportion + antonym";500;"5";0.01
"86";0.638239913943474;0.464578623550342;"target~ penality.rowsums + common_word_proportion + uncommon_word_proportion";500;"5";0.01
"87";0.637280115398042;0.465251146939038;"target~ penality.rowsums + common_word_proportion + antonym";500;"5";0.01
"88";0.637544086549158;0.465155158139876;"target~ penality.rowsums + uncommon_word_proportion + antonym";500;"5";0.01
"89";0.646205099175981;0.444862793953452;"target~ ngram_proportion + common_word_proportion + uncommon_word_proportion";500;"5";0.01
"90";0.644834686880002;0.44630393185097;"target~ ngram_proportion + common_word_proportion + antonym";500;"5";0.01
"91";0.642805473599222;0.44818644751744;"target~ ngram_proportion + uncommon_word_proportion + antonym";500;"5";0.01
"92";0.623772579909839;0.469660581269975;"target~ common_word_proportion + uncommon_word_proportion + antonym";500;"5";0.01
"93";0.486556920231204;0.58779977757505;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums";500;"5";0.01
"94";0.554832745123626;0.527984956156468;"target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion";500;"5";0.01
"95";0.654828527924503;0.43910171468368;"target~ embeddings_sum + embeddings_pca + tfidf + common_word_proportion";500;"5";0.01
"96";0.65114493616336;0.44343285778572;"target~ embeddings_sum + embeddings_pca + tfidf + uncommon_word_proportion";500;"5";0.01
"97";0.472574178607607;0.595899295577797;"target~ embeddings_sum + embeddings_pca + tfidf + antonym";500;"5";0.01
"98";0.525826216214743;0.569315010061282;"target~ embeddings_sum + embeddings_pca + penality.rowsums + ngram_proportion";500;"5";0.01
"99";0.636356412372531;0.452147614042302;"target~ embeddings_sum + embeddings_pca + penality.rowsums + common_word_proportion";500;"5";0.01
"100";0.636742508862364;0.451784652271913;"target~ embeddings_sum + embeddings_pca + penality.rowsums + uncommon_word_proportion";500;"5";0.01
"101";0.297405429246367;0.835572937382459;"target~ embeddings_sum + embeddings_pca + penality.rowsums + antonym";500;"5";0.01
"102";0.648421753996574;0.441418187764952;"target~ embeddings_sum + embeddings_pca + ngram_proportion + common_word_proportion";500;"5";0.01
"103";0.644616938433929;0.445154071729325;"target~ embeddings_sum + embeddings_pca + ngram_proportion + uncommon_word_proportion";500;"5";0.01
"104";0.536834030753645;0.563282414340548;"target~ embeddings_sum + embeddings_pca + ngram_proportion + antonym";500;"5";0.01
"105";0.632387035379936;0.456494737701674;"target~ embeddings_sum + embeddings_pca + common_word_proportion + uncommon_word_proportion";500;"5";0.01
